date,cases,deaths
2020-03-31,1095533,20322
2020-04-30,19611702,990495
2020-05-31,45452104,2695260
2020-06-30,65288844,3498954
2020-07-31,111626136,4307836
2020-08-31,166758791,5259819
2020-09-30,199758779,5879775
2020-10-31,252794113,6774225
2020-11-30,338932424,7449571
2020-12-31,525970108,9537613
2021-01-31,729983851,12216246
2021-02-28,773617709,13511297
2021-03-31,916857453,16598892
2021-04-30,944997168,16938705
2021-05-31,1020494153,18153711
2021-06-30,1003882689,18001792
2021-07-31,779938501,13965616
